ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Nombre del atributo 4,Valor(es) del atributo 4,Atributo visible 4,Atributo global 4
,,70011279,RIBEYE LIPON 16 OZ CAB         ,1,0,visible,RIBEYE LIPON calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 455 g.\n2 piezas por pedido,"El Ribeye Lip On de 450 gm aprox. marca Certified Angus Beef, calidad High Choise, es una de las piezas más buscadas por los conocedores ya que es extraÍda del músculo longisimus dorsi (ojo del rib eye) y tiene una combinación perfecta entre sabor, textura y jugosidad. No tiene hueso, es sólo la carne marmoleada de manera perfecta para que se puedan extraer los mejores sabores de cada pieza. Es una carne con la que asegura dar gusto a cualquier persona que disfrute de la carne de alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$970,Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70011279.jpg, http://localhost/meatindeed/wp-content/uploads/70011279-3.jpg",,,,,,,,,,Peso aprox.,454 g,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,2,1,1
,,70011295,RIBEYE ROLL 25 OZ CAB         ,1,0,visible,RIBEYE ROLL calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 707 g.\n1 pieza,"El Ribeye Roll de 700 gm aproximadamente, marca Certified Angus Beef, calidad High Choise, es una de las piezas más buscadas por los conocedores ya que es extraÍda del músculo longisimus dorsi (ojo del rib eye) y tiene una combinación perfecta entre sabor, textura y jugosidad. No tiene hueso, es sólo la carne marmoleada de manera perfecta para que se puedan extraer los mejores sabores de cada pieza. Es una carne con la que asegura dar gusto a cualquier persona que disfrute de la carne de alta calidad.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$1,109",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70011295.jpg, http://localhost/meatindeed/wp-content/uploads/70011295-2.jpg, http://localhost/meatindeed/wp-content/uploads/70011295-3.jpg",,,,,,,,,,Peso aprox.,707g,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70012313,SHORT RIB 14 OZ CAB         ,1,0,visible,SHORT RIB calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 790 g.\n1 pieza,"El Short Rib , marca Certified Angus Beef, calidad High Choise, es ideal para parrillar, estofar o asar, dependiendo el platillo y textura que se desee obtener. Los huesos de estas costillas son pràcticamente planos y estàn cubiertos con 1-2"" de carne en la parte superior. Este tipo de costillas son una gran elecciÑn cuando se desea un sabor exquisito. La pieza tiene 790 gm aproximadamente.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$683,Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70012313.jpg, http://localhost/meatindeed/wp-content/uploads/70012313-2.jpg",,,,,,,,,,Peso aprox.,790 g,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70012309,SHORT RIB 25 OZ CAB,1,0,visible,SHORT RIB calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 707 g.\n1 pieza,"El Short Rib , marca Certified Angus Beef, calidad High Choise, es ideal para parrillar, estofar o asar, dependiendo el platillo y textura que se desee obtener. Los huesos de estas costillas son pràcticamente planos y estàn cubiertos con 1-2"" de carne en la parte superior. Este tipo de costillas son una gran elecciÑn cuando se desea un sabor exquisito. La pieza tiene un peso aproximado de 700 gramos.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$628,Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70012309.jpg, http://localhost/meatindeed/wp-content/uploads/70012309-2.jpg",,,,,,,,,,Peso aprox.,707 g,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70017331,T-BONE 12 OZ CAB ,1,0,visible,SHORT RIB calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 340g.\n3 piezas por pedido,"El T-Bone de 340 gm aproximadamente, marca Certified Angus Beef, calidad High Choise, es una pieza perfecta para asar en la parrilla ya que le gusta a la mayoría d elas personas. Este corte es tan popular por su gran sabor y textura.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$651,Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70017331.jpg, http://localhost/meatindeed/wp-content/uploads/70017331-2.jpg, http://localhost/meatindeed/wp-content/uploads/70017331-3.jpg",,,,,,,,,,Peso aprox.,340 g,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,3,1,1
,,70010324,TOMAHAWK 35 OZ CAB            ,1,0,visible,TOMAHAWK calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 900g.\n1 pieza,"El Tomahawk marca Certified Angus Beef, calidad High Choise, de 900 gm aprox,  consiste en un grueso filete con hueso de la costillas anteriores y mucha grasa intramuscular. Estas caracterÕsticas le dan un gran sabor y jugosidad excepcional, y ni qu_ decir de la apariencia, es inigualable. En una pieza tan vistosa, es importante que la calidad sea alta para completar la experiencia en la parrilla.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$1,068",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70010324.jpg, http://localhost/meatindeed/wp-content/uploads/70010324-2.jpg, http://localhost/meatindeed/wp-content/uploads/70010324-3.jpg",,,,,,,,,,Peso aprox.,900 g,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70001200,BRISKET CAB 8kg,1,0,visible,BRISKET calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 8 kg.\n1 pieza,"El Brisket marca Certified Angus Beef, calidad High Choise, es un corte de carne del pecho de res. Es perfecto para caldos, deshebrar o hacer machaca. Existen gran variedad de resetas  para hacer con est etipo de corte. La pieza es de 8 kg aproximadamente.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$2,452",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70001200.jpg, http://localhost/meatindeed/wp-content/uploads/70001200-2.jpg",,,,,,,,,,Peso aprox.,8 Kg,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70018161,COULOTTE PICAÑA CAB 6kg,1,0,visible,PICAÑA calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 6 kg.\n1 pieza,"La Picaña marca Certified Angus Beef, calidad High Choise es es un corte típicamente brasileño y tiene forma triangular. Está cubierto por una capa de grasa blanca que le confiere un extraordinario y característico sabor. La pieza es de aproximadamente 6 kilos y de esta manera es ideal para preparar en asador y compartir con conocedores de este corte tan especial.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$2,521",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70018161.jpg, http://localhost/meatindeed/wp-content/uploads/70018161-2.jpg",,,,,,,,,,Peso aprox.,6 Kg,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70013001,CHUCK FLAP  S/H CAB,1,0,visible,CHUCK FLAP calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 3.4 kg.\n1 pieza,"El Chuck Flap marca Certified Angus Beef, calidad High Choise proviene del  hombro de la res y tiene abundante marmoleo. Con este corte se pueden preparar mœltiples y delicios platillos, ya sea cocido a fuego lento, marinado y asado o cortado en cubos para recetas de Korean BBQ. Es un corte fino de gran sabor, jugosidad y textura, la cantidad de opciones para prepararlo es tan grande que se puede saborear con frecuencia y siempre de diferente manera. La pieza es de aproximadamente 3.4 Kg.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$2,640",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70013001.jpg, http://localhost/meatindeed/wp-content/uploads/70013001-2.jpg",,,,,,,,,,Peso aprox.,3.4 Kg,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70018900,FILETE SEMILIMPIO 189A CAB    3 KG,1,0,visible,FILETE SEMILIMPIO calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 2.5 kg.\n1 pieza,"El Filete Semilimpio de Res marca Certified Angus Beef, calidad High Choise, es la carne perfecta para guisos, tacos o cualquier platillo en el que necesite carne suave y de gran sabor. La apariencia y la textura lo hacen perfecto para lucir en cualquier plato. La pieza es de 2.5 kg aproximadamente, as’ puede porcionar al gusto de cada comensal.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$2,566",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70018900.jpg, http://localhost/meatindeed/wp-content/uploads/70018900-2.jpg",,,,,,,,,,Peso aprox.,2.5 Kg,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70019301,FLAP MEAT CAB ,1,0,visible,FLAP MEAT calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 8 kg.\n1 pieza,"El Flap Meat o vacío argentino como se le conoce normalmente, marca Certified Angus Beef, calidad High Choise es una carne que tiene bastante marmoleo a ambos lados del corte que lo hace perfecto para platillos sencillos o elaborados. Servirlo sólo o acompañado con chiles y cebolla es garantía de sabor y calidad. La pieza tiene 8 kilos aproximadamente.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$3,856",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70019301.jpg, http://localhost/meatindeed/wp-content/uploads/70019301-2.jpg",,,,,,,,,,Peso aprox.,8 Kg,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70018005,NEW YORK 0X1 CAB  6Kg,1,0,visible,NEW YORK calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 6 kg.\n1 pieza,"El corte New York asador es uno de los más equilibrados en cuanto a grasa, ya que es una carne de buen marmoleo además de jugosa y de buen sabor. Esto es lo que lo hace una excelente opción para asar. Respaldada por la calidad de los productos Certified Angus Beef (CAB). Calidad: Certified Angus Beef: La mejor calidad ""high choice"" asegurada gracias a Certified Angus Beefëå, una marca creada por la American Angus Association establecida en 1978. Solo 3 de cada 10 angus califican para ser Certified Angus Beef, para ello deben pasar 10 estándares de calidad divididos en categorías como marmoleo, madurez, tamaño consistente, apariencia y terneza.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$3,404",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70018005.jpg, http://localhost/meatindeed/wp-content/uploads/70018005-2.jpg",,,,,,,,,,Peso aprox.,6 Kg,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70011418,FLAT IRON CAB,1,0,visible,FLAT IRON  calidad High Choice.\nMarca: Certified Angus Beef\nPeso Aproximado 2 kg.\n1 pieza,"El Flat Iron consiste en la pieza porcionada perteneciente a la paleta superior de la espaldilla de res. El Flat Iron es Calidad Certified Angus Beef por lo que se distingue por ser un corte fino con buen marmoleo, sabor, calidad y jugosidad gracias a la grasa intramuscular que contiene y al conjunto de músculos que lo conforman. Calidad: Certified Angus Beef: La mejor calidad ""high choice"" asegurada gracias a Certified Angus Beef, una marca creada por la American Angus Association establecida en 1978 . Solo 3 de cada 10 angus califican para ser Certified Angus Beef, para ello deben pasar 10 estándares de calidad divididos en categorías como marmoleo, madurez, tamaño consistente, apariencia y terneza.",,,none,tasa-cero,1,,,0,0,,,,,0,,,$840,Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70011418.jpg, http://localhost/meatindeed/wp-content/uploads/70011418-2.jpg",,,,,,,,,,Peso aprox.,2 Kg,1,0,Calidad, HIGH CHOICE ,1,1,Marca, CERTIFIED ANGUS BEEF ,1,1,Piezas,1,1,1
,,70018163,COULOTTE PICAÑA PERFECT CHOICE,1,0,visible,PICAÑA  calidad USDA Choice.\nMarca: Comnor\nPeso Aproximado 3.75 kg.\n1 pieza,"La Picaña marca ComNor calidad Choise, es carne de vacuno pero lo que la hace diferente es el tipo de corte, típicamente brasileño.  y tiene forma triangular. Está cubierto por una capa de grasa blanca que le confiere un extraordinario y característico sabor. La pieza es de aproximadamente 6 kilos y de esta manera es ideal para preparar en asador y compartir con conocedores de este corte tan especial. Esta pieza pesa 3.75 Kg aproximadamente.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$1,701",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70018163.jpg, http://localhost/meatindeed/wp-content/uploads/70018163-2.jpg",,,,,,,,,,Peso aprox.,3.75 Kg,1,0,Calidad, USDA CHOISE ,1,1,Marca, COMNOR ,1,1,Piezas,1,1,1
,,70012319,SHORT RIB C/H PERFECT CHOICE,1,0,visible,SHORT RIB  calidad USDA Choice.\nMarca: Comnor\nPeso Aproximado 6.25 kg.\n1 pieza,"El Short Rib , marca ComNor Perfect Choise, es ideal para parrillar, estofar o asar, dependiendo el platillo y textura que se desee obtener. Los huesos de estas costillas son prácticamente planos y estàn cubiertos con 1-2"" de carne en la parte superior. Este tipo de costillas son una gran elecciÑn cuando se desea un sabor exquisito. La pieza tiene un peso aproximado de 6.250 Kg.",,,none,tasa-cero,1,,,0,0,,,,,0,,,"$3,391",Carne de Res,,,"http://localhost/meatindeed/wp-content/uploads/70012319.jpg, http://localhost/meatindeed/wp-content/uploads/70012319-2.jpg",,,,,,,,,,Peso aprox.,6.25 Kg,1,0,Calidad, USDA CHOISE ,1,1,Marca, COMNOR ,1,1,Piezas,1,1,1
